date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:52:12	147/147	---M-Z	200	added ('OK')	text/plain	date:Sun,%2023%20Jul%202023%2023:52:12%20GMT	https://kit.baliniz.com/robots.txt		(from )
01:52:14	213883/213883	---MCZ	200	added ('OK')	text/html	date:Sun,%2023%20Jul%202023%2023:52:14%20GMT	https://kit.baliniz.com/payze/	C:/Users/K/Desktop/dev/payze/payze/kit.baliniz.com/payze/index.html	(from )
01:52:15	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2023%20Jul%202023%2023:52:15%20GMT	https://kit.baliniz.com/payze/xmlrpc.php	C:/Users/K/Desktop/dev/payze/payze/kit.baliniz.com/payze/xmlrpc.php	(from https://kit.baliniz.com/payze/)
01:52:15	196687/196687	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Mar%202023%2006:34:34%20GMT	https://kit.baliniz.com/payze/wp-content/plugins/jeg-elementor-kit/assets/css/elements/main.css?ver=2.6.1	C:/Users/K/Desktop/dev/payze/payze/kit.baliniz.com/payze/wp-content/plugins/jeg-elementor-kit/assets/css/elements/mainc141.css	(from https://kit.baliniz.com/payze/)
01:52:15	97517/97517	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Jun%202023%2006:58:35%20GMT	https://kit.baliniz.com/payze/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2	C:/Users/K/Desktop/dev/payze/payze/kit.baliniz.com/payze/wp-includes/css/dist/block-library/style.min3781.css	(from https://kit.baliniz.com/payze/)
01:52:15	291/291	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Jun%202023%2006:58:36%20GMT	https://kit.baliniz.com/payze/wp-includes/css/classic-themes.min.css?ver=6.2.2	C:/Users/K/Desktop/dev/payze/payze/kit.baliniz.com/payze/wp-includes/css/classic-themes.min3781.css	(from https://kit.baliniz.com/payze/)
01:52:16	1111/1111	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Nov%202021%2003:19:25%20GMT	https://kit.baliniz.com/payze/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min.css?ver=1.0.21	C:/Users/K/Desktop/dev/payze/payze/kit.baliniz.com/payze/wp-content/plugins/template-kit-export/public/assets/css/template-kit-export-public.min365c.css	(from https://kit.baliniz.com/payze/)
01:52:18	776/776	---M-Z	200	added ('OK')	text/css	date:Mon,%2005%20Jun%202023%2007:02:18%20GMT	https://kit.baliniz.com/payze/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementor.css?ver=1.6.14	C:/Users/K/Desktop/dev/payze/payze/kit.baliniz.com/payze/wp-content/plugins/header-footer-elementor/assets/css/header-footer-elementord2ac.css	(from https://kit.baliniz.com/payze/)
01:52:18	182297/182297	---MCZ	200	added ('OK')	application/rss+xml	etag:%2279a84bcfc7503e422e4fbd2d89c5d9c1%22	https://kit.baliniz.com/payze/feed/	C:/Users/K/Desktop/dev/payze/payze/kit.baliniz.com/payze/feed/index.html	(from https://kit.baliniz.com/payze/)
01:52:19	791/791	---M-Z	200	added ('OK')	application/rss+xml	etag:%2279a84bcfc7503e422e4fbd2d89c5d9c1%22	https://kit.baliniz.com/payze/comments/feed/	C:/Users/K/Desktop/dev/payze/payze/kit.baliniz.com/payze/comments/feed/index.html	(from https://kit.baliniz.com/payze/)
01:52:20	19443/19443	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Jun%202023%2008:59:14%20GMT	https://kit.baliniz.com/payze/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.20.0	C:/Users/K/Desktop/dev/payze/payze/kit.baliniz.com/payze/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.minfc13.css	(from https://kit.baliniz.com/payze/)
01:52:20	105535/105535	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Jun%202023%2008:59:09%20GMT	https://kit.baliniz.com/payze/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.14.0	C:/Users/K/Desktop/dev/payze/payze/kit.baliniz.com/payze/wp-content/plugins/elementor/assets/css/frontend-lite.mindf38.css	(from https://kit.baliniz.com/payze/)
01:52:20	12876/12876	---M-Z	200	added ('OK')	text/css	date:Thu,%2022%20Jun%202023%2008:59:16%20GMT	https://kit.baliniz.com/payze/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/Users/K/Desktop/dev/payze/payze/kit.baliniz.com/payze/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://kit.baliniz.com/payze/)
